Date|AAPL|AGG|AMZN|BND|BTC-USD|COP|CROMF|CVX|DUK|EXC|FB|GC=F|GOOGL|HYG|IEF|JNK|JPM|KO|LQD|MSFT|MUB|NEE|NFLX|NVDA|PEHN.SW|PEP|PFFA|PG|SHY|TIP|TLT|TSLA|V|XOM|^GSPC|^IRX
2021-10-01|141.6511993408203|108.92427062988281|165.1215057373047|80.77410888671875|53805.984375|65.75760650634766|12.642931938171387|98.04486846923828|93.22098541259766|32.56925582885742||1757.9000244140625|139.22500610351562|78.48825073242188|110.17910766601562|96.82393646240234|160.3283233642578|51.14425277709961|124.04192352294922|289.6033020019531|110.8336410522461|77.33873748779297|631.8499755859375|210.4524688720703||148.19195556640625|20.8551082611084|135.44940185546875|83.3445053100586|116.29969024658203|136.00160217285156|264.53668212890625|227.09986877441406|56.18006134033203|4399.759765625|0.03999999910593033
2021-10-04|||||||||||||||||||||||||84.70185089111328|||||||||||
2021-10-08|142.11581420898438|109.5435562133789|164.9929962158203|81.22974395751953|57321.5234375|67.90937805175781|12.642931938171387|100.94873809814453|93.85808563232422|33.51872253417969||1796.699951171875|141.1510009765625|79.06510162353516|110.71714782714844|97.59800720214844|155.01673889160156|51.83718490600586|125.48147583007812|297.3627624511719|111.1053466796875|77.85485076904297|633.7999877929688|217.15298461914062||150.9114990234375|21.114442825317383|137.0958709716797|83.26800537109375|117.62623596191406|139.033447265625|272.7733459472656|221.8102264404297|57.42109680175781|4438.259765625|0.03999999910593033
2021-10-11|||||||||||||||||||||||||86.1456298828125|||||||||||
2021-10-15|147.77041625976562|108.58021545410156|171.75050354003906|80.5456314086914|62210.171875|68.58985900878906|12.642931938171387|103.66704559326172|95.10460662841797|34.14723587036133||1781.199951171875|141.88600158691406|78.77552032470703|109.28461456298828|97.24026489257812|160.73497009277344|51.59038162231445|123.67949676513672|305.230224609375|110.57826232910156|80.100830078125|653.1599731445312|226.59962463378906||150.835693359375|20.988964080810547|132.60372924804688|83.12273406982422|117.37958526611328|135.86929321289062|298.0|226.79452514648438|58.06013870239258|4549.77978515625|0.05000000074505806
2021-10-18|||||||||||||||||||||||||84.70185089111328|||||||||||
2021-10-22|150.82508850097656|109.37187957763672|172.32850646972656|81.10620880126953|60622.13671875|69.10481262207031|12.642931938171387|104.94734191894531|94.63369750976562|35.27054977416992||1801.5999755859375|145.8489990234375|78.87507629394531|110.15949249267578|97.32967376708984|161.55047607421875|53.19457244873047|125.34069061279297|318.578369140625|111.02865600585938|82.5953369140625|674.0499877929688|249.05789184570312||153.14779663085938|21.114765167236328|136.63381958007812|83.11309051513672|117.83631134033203|140.3296661376953|359.0133361816406|206.6997833251953|59.56049346923828|4596.419921875|0.04800000041723251
2021-10-25|||||||||||||||||||||||||86.62689208984375|||||||||||
2021-10-29|149.23350524902344|109.46725463867188|173.85000610351562|81.31526947021484|61452.23046875|67.81780242919922|13.462718963623047|105.30917358398438|93.27638244628906|36.17988586425781||1793.0|148.2675018310547|78.88412475585938|110.64022827148438|97.32073211669922|159.58750915527344|53.726139068603516|125.62222290039062|330.45330810546875|111.1628189086914|81.0087890625|668.4000244140625|297.5892639160156||155.69677734375|21.23262596130371|139.16192626953125|83.2195816040039|118.0372543334961|140.19622802734375|409.9700012207031|205.65565490722656|59.65311050415039|4680.06005859375|0.03500000014901161
2021-11-01|||||||||||||||||||||||||85.66436767578125|||||||||||
2021-11-05|146.17881774902344|109.22862243652344|173.625|81.05288696289062|64949.9609375|66.73545837402344|13.353416442871094|105.9122085571289|92.56539916992188|36.57438659667969||1863.199951171875|145.76649475097656|78.81855010986328|110.04498291015625|97.41917419433594|158.9426727294922|53.859031677246094|125.18281555175781|326.51458740234375|111.48053741455078|81.59180450439453|657.5800170898438|303.470947265625||154.16171264648438|21.114765167236328|140.19618225097656|82.99784088134766|119.26481628417969|141.21466064453125|354.5033264160156|207.2711181640625|59.56049346923828|4649.27001953125|0.03999999910593033
2021-11-08|||||||||||||||||||||||||86.1456298828125|||||||||||
2021-11-12|156.29220581054688|109.12352752685547|184.80299377441406|80.93871307373047|56942.13671875|67.27203369140625|13.353416442871094|106.1812515258789|91.7155532836914|35.79876708984375||1861.0|149.8385009765625|78.64605712890625|110.20856475830078|97.07811737060547|154.6184844970703|52.596561431884766|124.6750259399414|335.19732666015625|111.41337585449219|83.72310638427734|682.02001953125|316.30279541015625||154.85345458984375|21.047412872314453|140.8856658935547|83.07530975341797|119.40194702148438|140.0980987548828|365.4599914550781|200.63978576660156|59.70393371582031|4704.5400390625|0.04500000178813934
2021-11-15|||||||||||||||||||||||||87.108154296875|||||||||||
2021-11-19|160.32156372070312|108.62678527832031|179.02049255371094|80.57707214355469|57274.6796875|69.22394561767578|13.353416442871094|109.97988891601562|93.40311431884766|36.704345703125||1791.4000244140625|146.1199951171875|78.15583038330078|109.58319091796875|96.46778869628906|158.3262939453125|52.61555099487305|123.76287078857422|332.5043029785156|111.49014282226562|83.35035705566406|658.2899780273438|326.27874755859375||155.1566619873047|20.8706111907959|142.3603973388672|82.93975067138672|118.13103485107422|140.1077117919922|372.0|200.56085205078125|59.581905364990234|4701.4599609375|0.05000000074505806
2021-11-22|||||||||||||||||||||||||86.1456298828125|||||||||||
2021-11-26|162.12335205078125|109.48655700683594|171.8679962158203|81.22421264648438|56477.81640625|65.92139434814453|13.353416442871094|108.05601501464844|91.04425811767578|35.63371658325195||1760.699951171875|142.96600341796875|78.07412719726562|111.29573059082031|96.2972412109375|152.87362670898438|50.3753776550293|125.21101379394531|324.21905517578125|111.5956802368164|85.0730972290039|616.469970703125|320.80645751953125||152.2001953125|20.818687438964844|141.01971435546875|82.9300537109375|118.35957336425781|145.55667114257812|361.5333251953125|195.66650390625|57.517005920410156|4577.10009765625|0.0430000014603138
2021-11-29|||||||||||||||||||||||||89.51445770263672|||||||||||
2021-12-03|172.8154296875|109.24907684326172|174.17100524902344|81.05728912353516|47672.12109375|67.11474609375|12.866903305053711|110.87145233154297|93.496337890625|35.781856536865234||1774.5999755859375|147.6385040283203|78.72370147705078|110.9759750366211|97.13014221191406|152.16241455078125|52.47831726074219|124.95589447021484|327.77130126953125|111.70000457763672|86.31147003173828|611.0|304.50677490234375||158.65684509277344|20.94578742980957|146.8229522705078|82.85245513916016|117.7421875|142.5709991455078|334.6000061035156|208.5931396484375|58.76533508300781|4667.4501953125|0.05299999937415123
2021-12-06|||||||||||||||||||||||||92.40201568603516|||||||||||
2021-12-10|170.5384063720703|109.40216064453125|168.87100219726562|81.22886657714844|47665.42578125|66.32843017578125|12.866903305053711|109.4637222290039|97.4681625366211|36.603336334228516||1796.5999755859375|144.44500732421875|78.74195098876953|111.4477767944336|97.4364013671875|152.114990234375|56.10377502441406|125.01243591308594|319.7024230957031|111.8537368774414|88.53861999511719|591.0599975585938|283.5039367675781||163.913330078125|21.013568878173828|154.2828369140625|82.96871948242188|117.1012191772461|142.49459838867188|308.97332763671875|211.5337371826172|57.601478576660156|4668.669921875|0.03500000014901161
2021-12-13|||||||||||||||||||||||||93.36453247070312|||||||||||
2021-12-17|174.51821899414062|109.36100769042969|171.06849670410156|80.85712432861328|50784.5390625|65.85663604736328|12.866903305053711|109.24788665771484|96.0043716430664|36.69087600708008||1811.199951171875|146.91650390625|79.6602554321289|111.1357192993164|97.98588562011719|149.12789916992188|55.69244384765625|125.25360107421875|329.33587646484375|112.05859375|87.06983947753906|614.0900268554688|296.01776123046875||161.9671630859375|21.034761428833008|153.3156280517578|82.89896392822266|118.13567352294922|142.0621337890625|355.6666564941406|213.75396728515625|57.272972106933594|4725.7900390625|0.057999998331069946
2021-12-20|||||||||||||||||||||||||92.88327026367188|||||||||||
2021-12-24|176.41903686523438|109.2844009399414|168.64450073242188|81.05764770507812|47178.125|66.8649673461914|12.866903305053711|110.20512390136719|97.7012710571289|38.61665725708008||1812.699951171875|146.20050048828125|79.54143524169922|110.95262145996094|98.11079406738281|150.28477478027344|56.22813034057617|125.2724609375|333.8917541503906|111.99124145507812|89.05699157714844|612.0900268554688|295.47845458984375||164.72418212890625|21.333383560180664|155.8724822998047|82.90868377685547|119.17671203613281|141.4690704345703|356.7799987792969|214.9874267578125|57.05709457397461|4778.72998046875|0.02500000037252903
2021-12-27|||||||||||||||||||||||||92.40201568603516|||||||||||
2021-12-31|170.281005859375|108.03949737548828|163.25399780273438|80.12059020996094|43160.9296875|72.60974884033203|12.920165061950684|115.67642974853516|96.47055053710938|38.19917678833008||1788.699951171875|137.74749755859375|78.68231201171875|109.00590515136719|97.17063903808594|156.96075439453125|57.844764709472656|122.9693603515625|308.85870361328125|111.577392578125|82.337158203125|553.2899780273438|281.4166259765625||165.85940551757812|21.16707992553711|155.929931640625|82.67606353759766|116.4312973022461|137.0594940185547|354.8999938964844|216.84255981445312|64.12469482421875|4696.0498046875|0.09000000357627869
2022-01-03|||||||||||||||||||||||||93.36453247070312|||||||||||
2022-01-07|170.4691162109375|108.02034759521484|161.21400451660156|80.1014404296875|42591.5703125|77.570068359375|13.223197937011719|118.9986343383789|97.10456085205078|38.03757858276367||1821.199951171875|138.58700561523438|78.75543975830078|109.246826171875|97.27909851074219|160.4868621826172|58.256099700927734|122.9977035522461|299.9239501953125|111.07695770263672|81.50199127197266|519.2000122070312|265.40728759765625||166.16470336914062|21.40587043762207|151.58233642578125|82.6469955444336|116.52342224121094|138.00645446777344|343.85333251953125|212.15538024902344|66.29285430908203|4659.02978515625|0.10999999940395355
2022-01-10|||||||||||||||||||||||||97.21461486816406|||||||||||
2022-01-14|162.8658905029297|107.05313873291016|151.66749572753906|79.44166564941406|40680.41796875|79.43463134765625|13.223197937011719|120.547119140625|95.38903045654297|38.36751937866211||1842.5|133.3074951171875|78.0791015625|108.16748046875|96.38416290283203|140.86363220214844|58.11260986328125|120.87393951416016|296.7751770019531|110.54767608642578|80.16761779785156|508.25|241.18856811523438||165.9357452392578|21.090328216552734|155.13511657714844|82.43377685546875|115.34419250488281|135.76824951171875|332.0899963378906|211.5139923095703|68.77073669433594|4482.72998046875|0.1679999977350235
2022-01-17|||||||||||||||||||||||||95.77083587646484|||||||||||
